2025-10-27 14:35:03.266 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:35:27.603 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:36:23.399 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:36:47.697 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:37:43.703 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:38:08.016 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:39:03.913 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:39:28.125 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:40:24.235 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:40:48.474 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:41:44.588 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:42:08.889 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:43:04.816 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:43:29.133 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:44:25.215 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:44:49.270 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:45:45.291 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:46:09.756 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
2025-10-27 14:47:05.418 ERROR (MainThread) [habluetooth.scanner] hci0 (1C:C1:0C:30:89:27): Failed to force stop scanner: 'NoneType' object has no attribute 'send'
